backtesting    | # CPUs: 5
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 30], stopLoss 0) --- Ending Value: 10102.43370659179 --- Total win/loss 39/33, 0.11
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 25], stopLoss 0) --- Ending Value: 11517.82976637599 --- Total win/loss 32/21, 1.47
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [60, 25], stopLoss 0) --- Ending Value: 11689.773059650008 --- Total win/loss 43/27, 1.95
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [65, 25], stopLoss 0) --- Ending Value: 11607.957242883715 --- Total win/loss 36/24, 1.68
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 20], stopLoss 0) --- Ending Value: 11270.59647735582 --- Total win/loss 14/10, 1.56
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 30], stopLoss 0) --- Ending Value: 9921.823244510597 --- Total win/loss 34/25, -0.08
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 25], stopLoss 0) --- Ending Value: 11085.516555909182 --- Total win/loss 25/19, 1.01
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [60, 25], stopLoss 0) --- Ending Value: 11583.83096482414 --- Total win/loss 32/27, 1.82
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [65, 25], stopLoss 0) --- Ending Value: 11469.950263522182 --- Total win/loss 30/22, 1.64
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 20], stopLoss 0) --- Ending Value: 10089.39533376652 --- Total win/loss 9/11, 0.14
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 30], stopLoss 0) --- Ending Value: 11615.890686706047 --- Total win/loss 27/21, 1.36
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 25], stopLoss 0) --- Ending Value: 10714.89704210276 --- Total win/loss 13/13, 0.8
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [60, 25], stopLoss 0) --- Ending Value: 11779.808708794906 --- Total win/loss 18/14, 2.34
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [65, 25], stopLoss 0) --- Ending Value: 10757.219893675698 --- Total win/loss 17/12, 0.99
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 20], stopLoss 0) --- Ending Value: 10114.725711904302 --- Total win/loss 7/7, 0.26
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 30], stopLoss 0) --- Ending Value: 11888.581848800415 --- Total win/loss 20/15, 1.55
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 25], stopLoss 0) --- Ending Value: 10703.37725922374 --- Total win/loss 10/9, 1.14
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [60, 25], stopLoss 0) --- Ending Value: 10808.143340822073 --- Total win/loss 14/7, 1.53
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [65, 25], stopLoss 0) --- Ending Value: 10553.650407265208 --- Total win/loss 12/8, 0.89
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 20], stopLoss 0) --- Ending Value: 10445.763581248384 --- Total win/loss 5/2, 1.18
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 30], stopLoss 0) --- Ending Value: 10207.00090945203 --- Total win/loss 51/36, 0.19
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 25], stopLoss 0) --- Ending Value: 11555.11869748416 --- Total win/loss 37/24, 1.47
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [60, 25], stopLoss 0) --- Ending Value: 12296.521650961558 --- Total win/loss 55/29, 2.49
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [65, 25], stopLoss 0) --- Ending Value: 12533.373295915384 --- Total win/loss 45/28, 2.49
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 20], stopLoss 0) --- Ending Value: 11008.201182048666 --- Total win/loss 16/10, 1.33
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 30], stopLoss 0.005) --- Ending Value: -7921050.710819721 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 25], stopLoss 0.005) --- Ending Value: -9503312.006225765 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [60, 25], stopLoss 0.005) --- Ending Value: -74007821.13236147 --- Total win/loss 2/0, 2.29
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [65, 25], stopLoss 0.005) --- Ending Value: -27535824.466308296 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 20], stopLoss 0.005) --- Ending Value: -9534261.997627087 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 30], stopLoss -0.01) --- Ending Value: -6776461.233869173 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 25], stopLoss -0.01) --- Ending Value: -8430333.43786642 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [60, 25], stopLoss -0.01) --- Ending Value: -58399760.91638455 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [65, 25], stopLoss -0.01) --- Ending Value: -23236853.05418916 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 20], stopLoss -0.01) --- Ending Value: -7654820.569298007 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [70, 30], stopLoss 0) --- Ending Value: 11891.232639733684 --- Total win/loss 18/15, 1.48
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [70, 25], stopLoss 0) --- Ending Value: 10750.805899367739 --- Total win/loss 10/9, 1.24
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [60, 25], stopLoss 0) --- Ending Value: 10798.36144093066 --- Total win/loss 14/7, 1.51
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [65, 25], stopLoss 0) --- Ending Value: 10624.96794628074 --- Total win/loss 12/8, 1.0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [70, 20], stopLoss 0) --- Ending Value: 10478.5104713591 --- Total win/loss 5/1, 1.3
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 14, limits [70, 30], stopLoss 0) --- Ending Value: 10391.076031057812 --- Total win/loss 71/48, 0.36
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 14, limits [70, 25], stopLoss 0) --- Ending Value: 11151.084864969844 --- Total win/loss 44/34, 1.19
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 14, limits [60, 25], stopLoss 0) --- Ending Value: 11340.323037311939 --- Total win/loss 70/37, 1.93
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 14, limits [65, 25], stopLoss 0) --- Ending Value: 11484.653445898428 --- Total win/loss 55/38, 1.82
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 14, limits [70, 20], stopLoss 0) --- Ending Value: 10836.37173890997 --- Total win/loss 21/14, 1.12
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 30], stopLoss 0.01) --- Ending Value: -7921050.71083672 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 25], stopLoss 0.01) --- Ending Value: -9503312.006239861 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [60, 25], stopLoss 0.01) --- Ending Value: -74007821.1323753 --- Total win/loss 2/0, 2.29
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [65, 25], stopLoss 0.01) --- Ending Value: -27535824.466322407 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 20], stopLoss 0.01) --- Ending Value: -9534261.997632183 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 30], stopLoss 0) --- Ending Value: 12170.358290945082 --- Total win/loss 29/17, 1.87
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 25], stopLoss 0) --- Ending Value: 11511.477960785847 --- Total win/loss 13/10, 1.52
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [60, 25], stopLoss 0) --- Ending Value: 12607.434559382149 --- Total win/loss 19/9, 2.62
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [65, 25], stopLoss 0) --- Ending Value: 11617.095632175233 --- Total win/loss 16/10, 1.92
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 20], stopLoss 0) --- Ending Value: 10278.724846741317 --- Total win/loss 6/6, 0.69
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 30], stopLoss 0.001) --- Ending Value: -6596875.7019657865 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 25], stopLoss 0.001) --- Ending Value: -7312731.535032816 --- Total win/loss 2/0, 6.18
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [60, 25], stopLoss 0.001) --- Ending Value: -44373465.48114544 --- Total win/loss 1/1, 1.09
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [65, 25], stopLoss 0.001) --- Ending Value: -18506952.902855605 --- Total win/loss 2/0, 3.74
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 20], stopLoss 0.001) --- Ending Value: -7835529.050744217 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 30], stopLoss 0.005) --- Ending Value: -8895204.73067588 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 25], stopLoss 0.005) --- Ending Value: -10671836.90249797 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [60, 25], stopLoss 0.005) --- Ending Value: -80350458.68557894 --- Total win/loss 2/0, 2.64
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [65, 25], stopLoss 0.005) --- Ending Value: -30402629.41372682 --- Total win/loss 1/0, 0
