Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,10391.076,3.53,71,48,0.36
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-12323932.95,-1.181,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-12323932.95,-1.181,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-12323932.95,-1.181,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-12323932.95,-1.181,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,11151.085,11.511,44,34,1.19
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-13694477.456,-0.207,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-13694477.456,-0.207,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-13694477.456,-0.207,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-13694477.456,-0.207,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,11340.323,13.403,70,37,1.93
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-95019616.394,0.438,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-95019616.394,0.438,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-95019616.394,0.438,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-95019616.394,0.438,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,11484.653,14.847,55,38,1.82
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-38181810.822,-0.13,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-38181810.822,-0.13,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-38181810.822,-0.13,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-38181810.822,-0.13,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,10836.372,8.364,21,14,1.12
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-15283367.157,0.456,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-15283367.157,0.456,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-15602820.682,1.283,3,0,6.03
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,14,-15283367.157,0.456,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,10181.82,1.445,57,40,0.15
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-10422436.778,-1.005,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-10422436.778,-1.005,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-10422436.778,-1.005,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-10422436.778,-1.005,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,11744.128,17.441,44,25,1.54
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-12194075.517,0.551,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-12194075.517,0.551,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-12194075.517,0.551,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-12194075.517,0.551,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,12092.564,20.926,69,28,2.54
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-90859428.297,0.272,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-90859428.297,0.272,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-90859428.297,0.272,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-90859428.297,0.272,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,12607.941,26.079,57,27,2.56
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-35434983.952,0.194,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-35434983.952,0.194,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-35434983.952,0.194,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-35434983.952,0.194,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,11116.966,11.17,20,12,1.47
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-13020931.442,0.824,2,0,3.94
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-13020931.442,0.824,2,0,3.94
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-13020931.442,0.824,2,0,3.94
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,15,-14252473.822,0.56,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,10207.001,1.665,51,36,0.19
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-9830134.23,-0.96,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-9830134.23,-0.96,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-9830134.23,-0.96,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-9830134.23,-0.96,0,1,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,11555.119,15.551,37,24,1.47
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-11976351.574,1.061,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-11976351.574,1.061,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-11976351.574,1.061,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-11976351.574,1.061,1,0,0
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,12296.522,22.965,55,29,2.49
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-86267650.446,0.839,2,0,1.69
DOGEUSDT,30m,2017-01-01,2022-01-29,RSI,16,-86267650.446,0.839,2,0,1.69
